"縣市鄉鎮","物資存放點","主/次分類","條碼號","品名","最小單位規格","庫存數量","單位","保存期限"
" 高雄市   桃源區 "," 桃源區復興里活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1440 "," 公斤 "," 1031203 "
" 花蓮縣   新城鄉 "," 大漢社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 200 "," 公斤 "," 1050430 "
" 高雄市   甲仙區 "," 甲仙區舊清潔隊車庫 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 540 "," 公斤 "," 1041201 "
" 新竹市   香山區 "," 新竹市香山區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 100 "," 公斤 "," 1051003 "
" 南投縣   水里鄉 "," 新城村村長宅 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2260 "," 公斤 "," 1060831 "
" 南投縣   信義鄉 "," 地利綜合球場邊＜貨櫃＞ "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1800 "," 公斤 "," 1050401 "
" 嘉義縣   梅山鄉 "," 太興村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 300 "," 公斤 "," 1060407 "
" 南投縣   國姓鄉 "," 長豐村村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 260 "," 公斤 "," 1050330 "
" 嘉義縣   中埔鄉 "," 中崙村6鄰前鄰長宅 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 200 "," 公斤 "," 1051013 "
" 臺東縣   大武鄉 "," 南興村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 300 "," 公斤 "," 1050229 "
" 嘉義縣   竹崎鄉 "," 中華社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1620 "," 公斤 "," 1041015 "
" 宜蘭縣   蘇澳鎮 "," 南強里 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 320 "," 公斤 "," 1031114 "
" 臺中市   東勢區 "," 臺中市東勢區延平社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 84 "," 公斤 "," 1041218 "
" 臺中市   東勢區 "," 臺中市東勢區上城活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 42 "," 公斤 "," 1041218 "
" 嘉義縣   竹崎鄉 "," 金獅村東湖仔 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 180 "," 公斤 "," 1041015 "
" 嘉義縣   阿里山鄉 "," 豐山村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2000 "," 公斤 "," 1051006 "
" 臺東縣   海端鄉 "," 海端鄉公所後倉庫 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1800 "," 公斤 "," 1050523 "
" 嘉義縣   阿里山鄉 "," 山美村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 3400 "," 公斤 "," 1051006 "
" 嘉義縣   番路鄉 "," 大湖國小 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 60 "," 公斤 "," 1041101 "
" 屏東縣   瑪家鄉 "," 佳義村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 43681 "," 公斤 "," 1041031 "
" 臺中市   西區 "," 臺中市西區區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 720 "," 公斤 "," 1050810 "
" 臺東縣   太麻里鄉 "," 太麻里鄉大王村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 360 "," 公斤 "," 1041130 "
" 臺中市   新社區 "," 中興合作農場 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 300 "," 公斤 "," 1061211 "
" 新竹縣   尖石鄉 "," 梅花長老教會 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 384 "," 公斤 "," 1041016 "
" 臺南市   中西區 "," 臺南市中西區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 39 "," 公斤 "," 1050521 "
" 新竹縣   尖石鄉 "," 新光國小 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 40 "," 公斤 "," 1040921 "
" 臺東縣   達仁鄉 "," 啦里吧活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 400 "," 公斤 "," 1041231 "
" 臺南市   學甲區 "," 臺南市學甲區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 120 "," 公斤 "," 1041007 "
" 臺中市   北屯區 "," 北屯區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 200 "," 公斤 "," 1050414 "
" 南投縣   水里鄉 "," 郡坑村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1140 "," 公斤 "," 1060831 "
" 雲林縣   古坑鄉 "," 草嶺村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1960 "," 公斤 "," 1011231 "
" 屏東縣   來義鄉 "," 丹林社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1520 "," 公斤 "," 1010630 "
" 屏東縣   來義鄉 "," 望嘉聚會所巡守隊 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 3160 "," 公斤 "," 1010630 "
" 屏東縣   來義鄉 "," 大後天主堂2樓 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2000 "," 公斤 "," 1020630 "
" 宜蘭縣   三星鄉 "," 三星鄉公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 200 "," 公斤 "," 1020405 "
" 嘉義縣   阿里山鄉 "," 達邦村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 6000 "," 公斤 "," 1051006 "
" 臺東縣   卑南鄉 "," 美農村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 20 "," 公斤 "," 1041231 "
" 新竹縣   北埔鄉 "," 北埔鄉公所3樓 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 420 "," 公斤 "," 1050331 "
" 臺中市   東勢區 "," 臺中市東勢區慶福里社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 42 "," 公斤 "," 1041218 "
" 臺中市   北屯區 "," 北屯區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 30 "," 公斤 "," 1050125 "
" 臺東縣   太麻里鄉 "," 太麻里鄉三和村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 240 "," 公斤 "," 1041130 "
" 嘉義縣   大埔鄉 "," 坪林分校 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 200 "," 公斤 "," 1051231 "
" 嘉義縣   中埔鄉 "," 東興派出所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 400 "," 公斤 "," 1051013 "
" 新竹縣   竹北市 "," 竹北市公所災民救濟物資儲存室 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 40 "," 公斤 "," 1041207 "
" 臺中市   南屯區 "," 臺中市南屯區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 400 "," 公斤 "," 1050310 "
" 臺東縣   卑南鄉 "," 嘉豐村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 20 "," 公斤 "," 1041231 "
" 臺中市   太平區 "," 太平區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1980 "," 公斤 "," 1050909 "
" 花蓮縣   壽豐鄉 "," 水璉活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 195 "," 公斤 "," 1040923 "
" 臺中市   和平區 "," 和平社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 800 "," 公斤 "," 1050831 "
" 新竹縣   尖石鄉 "," 玉峰村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 80 "," 公斤 "," 1040921 "
" 嘉義縣   番路鄉 "," 大湖村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 60 "," 公斤 "," 1041101 "
" 嘉義縣   番路鄉 "," 社區理事長宅 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 32 "," 公斤 "," 1041101 "
" 臺中市   神岡區 "," 臺中市神岡區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 30 "," 公斤 "," 1041029 "
" 嘉義縣   竹崎鄉 "," 金獅村芊蓁坑 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 180 "," 公斤 "," 1041015 "
" 嘉義縣   竹崎鄉 "," 仁壽村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 360 "," 公斤 "," 1041015 "
" 臺中市   新社區 "," 福民國小 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 300 "," 公斤 "," 1061211 "
" 新竹縣   尖石鄉 "," 養老真耶穌教會 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 120 "," 公斤 "," 1040921 "
" 嘉義縣   中埔鄉 "," 中崙4鄰村長宅 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1000 "," 公斤 "," 1051013 "
" 南投縣   名間鄉 "," 松柏村集會所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 400 "," 公斤 "," 1050430 "
" 屏東縣   牡丹鄉 "," 東源村活動中心倉庫 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 600 "," 公斤 "," 1041231 "
" 雲林縣   北港鎮 "," 全聯實業股份有限公司 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 3000 "," 公斤 "," 1031231 "
" 臺中市   大安區 "," 臺中市大安區老人文康活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 480 "," 公斤 "," 1050910 "
" 臺中市   和平區 "," 中坑里辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 400 "," 公斤 "," 1050831 "
" 南投縣   仁愛鄉 "," 中正村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2000 "," 公斤 "," 1060401 "
" 彰化縣   芬園鄉 "," 芬園鄉公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 500 "," 公斤 "," 1060630 "
" 屏東縣   瑪家鄉 "," 排灣村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 12996 "," 公斤 "," 1041031 "
" 臺南市   歸仁區 "," 臺南市歸仁區美學館 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 840 "," 公斤 "," 1051007 "
" 南投縣   鹿谷鄉 "," 秀峰村物資儲放中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 40 "," 公斤 "," 1050611 "
" 臺中市   沙鹿區 "," 沙鹿區公所避難器具庫房 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 600 "," 公斤 "," 1050228 "
" 屏東縣   泰武鄉 "," 佳平村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 600 "," 公斤 "," 1050430 "
" 臺中市   和平區 "," 達觀里辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 600 "," 公斤 "," 1050831 "
" 屏東縣   滿州鄉 "," 滿州社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1280 "," 公斤 "," 1051031 "
" 新北市   汐止區 "," 汐止區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 24 "," 公斤 "," 1050423 "
" 臺東縣   東河鄉 "," 尚德國小(村辦公處) "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 100 "," 公斤 "," 1041231 "
" 屏東縣   泰武鄉 "," 平和村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 400 "," 公斤 "," 1050430 "
" 嘉義縣   阿里山鄉 "," 十字村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2000 "," 公斤 "," 1051006 "
" 臺東縣   卑南鄉 "," 明峰村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 30 "," 公斤 "," 1041231 "
" 臺中市   和平區 "," 自由里辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 500 "," 公斤 "," 1050831 "
" 嘉義縣   阿里山鄉 "," 聯合村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 4600 "," 公斤 "," 1051006 "
" 宜蘭縣   南澳鄉 "," 碧候村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 3900 "," 公斤 "," 1041130 "
" 花蓮縣   壽豐鄉 "," 壽豐鄉公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1035 "," 公斤 "," 1040923 "
" 南投縣   國姓鄉 "," 北山村村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 560 "," 公斤 "," 1050330 "
" 臺東縣   蘭嶼鄉 "," 蘭嶼鄉公所社會課倉庫 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 62500 "," 公斤 "," 1041030 "
" 嘉義縣   番路鄉 "," 前村長宅 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 32 "," 公斤 "," 1041101 "
" 高雄市   甲仙區 "," 甲仙區龍鳳寺 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 100 "," 公斤 "," 1040601 "
" 花蓮縣   萬榮鄉 "," 見晴社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 280 "," 公斤 "," 1050531 "
" 宜蘭縣   南澳鄉 "," 澳花村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 3000 "," 公斤 "," 1041130 "
" 南投縣   仁愛鄉 "," 大同村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 10830 "," 公斤 "," 1050325 "
" 新竹縣   尖石鄉 "," 秀巒村鎮西堡教會 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 320 "," 公斤 "," 1040421 "
" 新北市   平溪區 "," 平溪市民活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 6 "," 公斤 "," 1040810 "
" 新北市   平溪區 "," 平溪市民活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 15 "," 公斤 "," 1040414 "
" 南投縣   仁愛鄉 "," 翠華村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 9120 "," 公斤 "," 1050325 "
" 高雄市   茂林區 "," 茂林區多納活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2000 "," 公斤 "," 1050407 "
" 南投縣   水里鄉 "," 永興村活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1120 "," 公斤 "," 1060831 "
" 高雄市   茂林區 "," 茂林舊衛生所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1000 "," 公斤 "," 1050407 "
" 屏東縣   泰武鄉 "," 萬安村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 600 "," 公斤 "," 1050430 "
" 屏東縣   來義鄉 "," 新來義活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 3880 "," 公斤 "," 1010630 "
" 彰化縣   大城鄉 "," 大城鄉公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 3600 "," 公斤 "," 1010731 "
" 苗栗縣   泰安鄉 "," 八卦村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 36 "," 公斤 "," 1041230 "
" 嘉義縣   中埔鄉 "," 中埔鄉公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1400 "," 公斤 "," 1051013 "
" 嘉義縣   中埔鄉 "," 東興村長青會長宅 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1200 "," 公斤 "," 1051013 "
" 新竹縣   尖石鄉 "," 新光國小 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 240 "," 公斤 "," 1041016 "
" 雲林縣   東勢鄉 "," 東發商店 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 200 "," 公斤 "," 1060416 "
" 花蓮縣   壽豐鄉 "," 月眉活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 90 "," 公斤 "," 1040923 "
" 花蓮縣   壽豐鄉 "," 米棧活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 90 "," 公斤 "," 1040923 "
" 屏東縣   牡丹鄉 "," 旭海村活動中心倉庫 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 600 "," 公斤 "," 1051231 "
" 屏東縣   牡丹鄉 "," 石門村活動中心倉庫 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1000 "," 公斤 "," 1051231 "
" 嘉義縣   中埔鄉 "," 中崙村7鄰鄰長宅 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 200 "," 公斤 "," 1051013 "
" 南投縣   魚池鄉 "," 水社村集會所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 500 "," 公斤 "," 1050612 "
" 臺東縣   太麻里鄉 "," 太麻里鄉金崙村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 360 "," 公斤 "," 1041130 "
" 新竹縣   尖石鄉 "," 養老真耶穌教會 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 240 "," 公斤 "," 1041016 "
" 臺中市   東區 "," 臺中市東區區公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 300 "," 公斤 "," 1041224 "
" 臺中市   新社區 "," 大林國小 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 300 "," 公斤 "," 1061211 "
" 南投縣   南投市 "," 南投市公所四樓食物銀行倉庫 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 360 "," 公斤 "," 1050303 "
" 高雄市   桃源區 "," 桃源區梅山里-馬舒霍爾文化聚會所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1440 "," 公斤 "," 1031203 "
" 新竹縣   尖石鄉 "," 養老真耶穌教會 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 320 "," 公斤 "," 1040421 "
" 新竹縣   尖石鄉 "," 梅花長老教會 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 320 "," 公斤 "," 1030925 "
" 彰化縣   竹塘鄉 "," 竹塘鄉公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 100 "," 公斤 "," 1050920 "
" 新竹縣   尖石鄉 "," 石磊國小 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 320 "," 公斤 "," 1040421 "
" 嘉義縣   大埔鄉 "," 埔頂集會所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 200 "," 公斤 "," 1051231 "
" 新北市   貢寮區 "," 貢寮社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 3 "," 公斤 "," 1050903 "
" 嘉義縣   梅山鄉 "," 太和村村辦公處 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1260 "," 公斤 "," 1060407 "
" 嘉義縣   竹崎鄉 "," 金獅村出水坑 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 180 "," 公斤 "," 1041015 "
" 嘉義縣   竹崎鄉 "," 仁壽村塘湖 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 180 "," 公斤 "," 1041015 "
" 苗栗縣   南庄鄉 "," 南庄鄉公所 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 1020 "," 公斤 "," 1050507 "
" 臺南市   鹽水區 "," 臺南市鹽水區老人文康中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 570 "," 公斤 "," 1041021 "
" 南投縣   水里鄉 "," 民和社區活動中心 "," 食品類 / 主食品 "," 1011010 --"," 米 "," 1公斤／公斤 "," 2960 "," 公斤 "," 1060831 "
